alimento,calorias,proteinas,gordura,colesterol,carboidratos,fibras,calcio,magnesio,fosforo,ferro,sodio,potassio,cobre,zinco,grupoAlimentar
"Arroz, integral, cozido",124,"2,6","1,0",,"25,8","2,7",5,59,106,"0,3",1,75,"0,02","0,7",Cereais e derivados
"Arroz, integral, cru",360,"7,3","1,9",,"77,5","4,8",8,110,251,"0,9",2,173,"0,07","1,4",Cereais e derivados
"Arroz, tipo 1, cozido",128,"2,5","0,2",,"28,1","1,6",4,2,18,"0,1",1,15,"0,02","0,5",Cereais e derivados
"Arroz, tipo 1, cru",358,"7,2","0,3",,"78,8","1,6",4,30,104,"0,7",1,62,"0,11","1,2",Cereais e derivados
"Arroz, tipo 2, cozido",130,"2,6","0,4",,"28,2","1,1",3,6,22,"0,1",2,20,"0,04","0,5",Cereais e derivados
"Arroz, tipo 2, cru",358,"7,2","0,3",,"78,9","1,7",5,29,82,"0,6",1,57,"0,05","1,3",Cereais e derivados
"Aveia, flocos, crua",394,"13,9","8,5",,"66,6","9,1",48,119,153,"4,4",5,336,"0,44","2,6",Cereais e derivados
"Biscoito, doce, maise",443,"8,1","12,0",,"75,2","2,1",54,37,166,"1,8",352,142,"0,17","1,0",Cereais e derivados
"Biscoito, doce, recheado com chocolate",472,"6,4","19,6",,"70,5","3,0",27,48,139,"2,3",239,232,"0,27","1,0",Cereais e derivados
"Biscoito, doce, recheado com morango",471,"5,7","19,6",,"71,0","1,5",36,27,138,"1,5",230,113,"0,13","0,7",Cereais e derivados
"Biscoito, doce, wafer, recheado de chocolate",502,"5,6","24,7",,"67,5","1,8",23,48,124,"2,4",137,240,"0,26","0,9",Cereais e derivados
"Biscoito, doce, wafer, recheado de morango",513,"4,5","26,4",1,"67,4","0,8",14,19,73,"1,1",120,75,"0,08","0,5",Cereais e derivados
"Biscoito, salgado, cream cracker",432,"10,1","14,4",,"68,7","2,5",20,40,148,"2,2",854,181,"0,18","1,1",Cereais e derivados
"Bolo, mistura para",419,"6,2","6,1",,"84,7","1,7",59,28,333,"1,2",463,75,"0,15","0,6",Cereais e derivados
"Bolo, pronto, aipim",324,"4,4","12,7",73,"47,9","0,7",85,10,122,"0,5",111,135,"0,05","0,4",Cereais e derivados
"Bolo, pronto, chocolate",410,"6,2","18,5",77,"54,7","1,4",75,28,197,"2,1",283,212,"0,05","0,7",Cereais e derivados
"Bolo, pronto, coco",333,"5,7","11,3",63,"52,3","1,1",57,16,303,"0,8",190,143,"0,09","0,7",Cereais e derivados
"Bolo, pronto, milho",311,"4,8","12,4",82,"45,1","0,7",83,10,128,"0,7",134,118,"0,04","0,4",Cereais e derivados
"Canjica, branca, crua",358,"7,2","1,0",,"78,1","5,5",2,12,48,"0,3",1,93,"0,05","0,4",Cereais e derivados
"Canjica, com leite integral",112,"2,4","1,2",1,"23,6","1,2",43,6,41,"0,1",28,70,"0,03","0,3",Cereais e derivados
"Cereais, milho, flocos, com sal",370,"7,3","1,6",,"80,8","5,3",2,20,91,"0,5",272,69,,"0,6",Cereais e derivados
"Cereais, milho, flocos, sem sal",363,"6,9","1,2",,"80,4","1,8",2,17,58,"1,7",31,29,"0,24","0,3",Cereais e derivados
"Cereais, mingau, milho, infantil",394,"6,4","1,1",,"87,3","3,2",219,16,169,"3,0",399,82,"0,04","0,4",Cereais e derivados
"Cereais, mistura para vitami, igo, cevada e aveia",381,"8,9","2,1",,"81,6","5,0",584,72,515,"12,6",1163,244,"0,21","2,0",Cereais e derivados
"Cereal matil, milho",365,"7,2","1,0",,"83,8","4,1",143,11,101,"3,1",655,83,"0,06","7,6",Cereais e derivados
"Cereal matil, milho, açúcar",377,"4,7","0,7",,"88,8","2,1",56,8,43,"3,9",405,52,"0,04","8,5",Cereais e derivados
"Creme de arroz, pó",386,"7,0","1,2",,"83,9","1,1",7,51,153,"0,6",1,115,"0,04","1,9",Cereais e derivados
"Creme de milho, pó",333,"4,8","1,6",,"86,1","3,7",323,30,303,"4,3",594,166,"0,04","0,8",Cereais e derivados
"Curau, milho verde",78,"2,4","1,6",5,"13,9","0,5",53,16,75,"0,4",21,162,"0,03","0,4",Cereais e derivados
"Curau, milho verde, mistura para",402,"2,2","13,4",,"79,8","2,5",31,9,45,"0,9",223,55,"0,03","0,2",Cereais e derivados
"Farinha, de arroz, enriquecida",363,"1,3","0,3",,"85,5","0,6",1,4,36,"31,4",17,13,,"8,5",Cereais e derivados
"Farinha, de centeio, integral",336,"12,5","1,8",,"73,3","15,5",34,120,340,"4,7",41,334,"0,56","2,7",Cereais e derivados
"Farinha, de milho, amarela",351,"7,2","1,5",,"79,1","5,5",1,31,84,"2,3",45,58,"0,27","0,6",Cereais e derivados
"Farinha, de rosca",371,"11,4","1,5",,"75,8","4,8",35,57,195,"6,7",333,212,"0,26","1,7",Cereais e derivados
"Farinha, de igo",360,"9,8","1,4",,"75,1","2,3",18,31,115,"1,0",1,151,"0,15","0,8",Cereais e derivados
"Farinha, láctea, de cereais",415,"11,9","5,8",11,"77,8","1,9",196,58,296,"8,7",125,366,"0,19","1,7",Cereais e derivados
"Lasanha, massa fresca, cozida",164,"5,8","1,2",,"32,5","1,6",10,4,42,"1,2",207,54,"0,07","0,4",Cereais e derivados
"Lasanha, massa fresca, crua",220,"7,0","1,3",,"45,1","1,6",17,13,82,"1,9",667,137,"0,10","0,8",Cereais e derivados
"Macarrão, instantâneo",436,"8,8","17,2",,"62,4","5,6",18,19,112,"0,8",1516,148,"0,10","0,5",Cereais e derivados
"Macarrão, igo, cru",371,"10,0","1,3",,"77,9","2,9",17,28,100,"0,9",7,147,"0,15","0,8",Cereais e derivados
"Macarrão, igo, cru, com ovos",371,"10,3","2,0",18,"76,6","2,3",19,,118,"0,9",15,134,"0,14","0,8",Cereais e derivados
"Milho, amido, cru",361,"0,6",,,"87,1","0,7",1,3,13,"0,1",8,9,"0,02","0,1",Cereais e derivados
"Milho, fubá, cru",353,"7,2","1,9",,"78,9","4,7",3,41,108,"0,9",,168,"0,08","1,1",Cereais e derivados
"Milho, verde, cru",138,"6,6","0,6",,"28,6","3,9",2,33,113,"0,4",1,185,"0,05","0,5",Cereais e derivados
"Milho, verde, enlatado, dredo",98,"3,2","2,4",,"17,1","4,6",2,20,61,"0,6",260,162,"0,05","0,5",Cereais e derivados
"Mingau adiciol, pó",373,"0,6","0,4",,"89,3","0,9",522,4,273,"42,0",15,,,"15,2",Cereais e derivados
"Pamonha, barra para cozimento, pré-cozida",171,"2,6","4,8",,"30,7","2,4",4,15,55,"0,4",132,125,"0,03","0,4",Cereais e derivados
"Pão, aveia, forma",343,"12,4","5,7",,"59,6","6,0",109,57,182,"4,7",606,210,"0,14","1,7",Cereais e derivados
"Pão, de soja",309,"11,3","3,6",,"56,5","5,7",90,48,153,"3,3",663,296,"0,16","1,5",Cereais e derivados
"Pão, glúten, forma",253,"12,0","2,7",,"44,1","2,5",156,24,105,"5,7",22,65,"0,06","1,3",Cereais e derivados
"Pão, milho, forma",292,"8,3","3,1",6,"56,4","4,3",78,29,110,"3,0",507,89,"0,10","0,8",Cereais e derivados
"Pão, igo, forma, integral",253,"9,4","3,7",,"49,9","6,9",132,60,193,"3,0",506,163,"0,15","1,6",Cereais e derivados
"Pão, igo, francês",300,"8,0","3,1",,"58,6","2,3",16,25,95,"1,0",648,142,"0,13","0,8",Cereais e derivados
"Pão, igo, sovado",311,"8,4","2,8",17,"61,5","2,4",52,22,101,"2,3",431,91,,"2,7",Cereais e derivados
"Pastel, de carne, cru",289,"10,7","8,8",18,"42,0","1,0",17,18,117,"2,0",1309,166,"0,11","1,7",Cereais e derivados
"Pastel, de carne, frito",388,"10,1","20,1",25,"43,8","1,0",13,14,90,"2,5",1040,156,"0,12","1,2",Cereais e derivados
"Pastel, de queijo, cru",308,"9,9","9,6",14,"45,9","1,1",155,16,168,"1,0",985,103,"0,10","1,0",Cereais e derivados
"Pastel, de queijo, frito",422,"8,7","22,7",15,"48,1","0,9",126,15,124,"1,3",821,124,"0,10","0,8",Cereais e derivados
"Pastel, massa, crua",310,"6,9","5,5",,"57,4","1,4",13,14,73,"1,1",1344,167,"0,11","0,6",Cereais e derivados
"Pastel, massa, frita",570,"6,0","40,9",,"49,3","1,3",11,13,62,"1,4",1175,143,"0,08","0,5",Cereais e derivados
"Pipoca, com óleo de soja, sem sal",448,"9,9","15,9",,"70,3","14,3",3,91,225,"1,2",4,256,"0,46","2,0",Cereais e derivados
"Polenta, pré-cozida",103,"2,3","0,3",,"23,3","2,4",1,4,17,,442,100,"0,04","0,1",Cereais e derivados
"Torrada, pão francês",377,"10,5","3,3",,"74,6","3,4",19,32,114,"1,2",829,189,"0,16","0,9",Cereais e derivados
"Abóbora, cabotian, cozida",48,"1,4","0,7",,"10,8","2,5",8,9,33,"0,3",1,199,"0,06","0,3","Verduras, hortaliças e derivados"
"Abóbora, cabotian, crua",39,"1,7","0,5",,"8,4","2,2",18,9,26,"0,4",,351,"0,06","0,3","Verduras, hortaliças e derivados"
"Abóbora, meni brasileira, crua",14,"0,6",,,"3,3","1,2",9,4,12,"0,2",,165,"0,02",,"Verduras, hortaliças e derivados"
"Abóbora, moranga, crua",12,"1,0","0,1",,"2,7","1,7",3,2,8,,,125,"0,05","0,1","Verduras, hortaliças e derivados"
"Abóbora, moranga, refogada",29,"0,4","0,8",,"6,0","1,5",19,7,12,"0,1",3,183,"0,04","0,1","Verduras, hortaliças e derivados"
"Abóbora, pescoço, crua",24,"0,7","0,1",,"6,1","2,3",9,7,32,"0,3",1,264,"0,09","0,2","Verduras, hortaliças e derivados"
"Abobrinha, italia, cozida",15,"1,1","0,2",,"3,0","1,6",17,17,22,"0,2",1,126,"0,01","0,3","Verduras, hortaliças e derivados"
"Abobrinha, italia, crua",19,"1,1","0,1",,"4,3","1,4",15,20,32,"0,2",,253,"0,05","0,2","Verduras, hortaliças e derivados"
"Abobrinha, italia, refogada",24,"1,1","0,8",,"4,2","1,4",21,13,32,"0,4",2,194,"0,02","0,3","Verduras, hortaliças e derivados"
"Abobrinha, paulista, crua",31,"0,6","0,1",,"7,9","2,6",19,9,33,"0,2",1,213,"0,10","0,2","Verduras, hortaliças e derivados"
"Acelga, crua",21,"1,4","0,1",,"4,6","1,1",43,10,40,"0,3",1,240,"0,10","0,3","Verduras, hortaliças e derivados"
"Agrião, cru",17,"2,7","0,2",,"2,3","2,1",133,18,51,"3,1",7,218,"0,10","0,7","Verduras, hortaliças e derivados"
"Aipo, cru",19,"0,8","0,1",,"4,3","1,0",65,9,28,"0,7",10,274,"0,31","0,1","Verduras, hortaliças e derivados"
"Alface, america, crua",9,"0,6","0,1",,"1,7","1,0",14,6,19,"0,3",7,136,"0,02","0,2","Verduras, hortaliças e derivados"
"Alface, crespa, crua",11,"1,3","0,2",,"1,7","1,8",38,11,26,"0,4",3,267,"0,03","0,3","Verduras, hortaliças e derivados"
"Alface, lisa, crua",14,"1,7","0,1",,"2,4","2,3",28,9,26,"0,6",4,349,"0,03","0,3","Verduras, hortaliças e derivados"
"Alface, roxa, crua",13,"0,9","0,2",,"2,5","2,0",34,9,51,"2,5",7,308,"0,04","0,2","Verduras, hortaliças e derivados"
"Alfavaca, crua",29,"2,7","0,5",,"5,2","4,1",258,84,50,"1,3",5,261,"0,15","0,7","Verduras, hortaliças e derivados"
"Alho, cru",113,"7,0","0,2",,"23,9","4,3",14,21,149,"0,8",5,535,"0,15","0,8","Verduras, hortaliças e derivados"
"Alho-poró, cru",32,"1,4","0,1",,"6,9","2,5",34,11,36,"0,6",2,224,"0,29","0,2","Verduras, hortaliças e derivados"
"Almeirão, cru",18,"1,8","0,2",,"3,3","2,6",19,21,40,"0,7",2,369,"0,10","0,3","Verduras, hortaliças e derivados"
"Almeirão, refogado",65,"1,7","4,8",,"5,7","3,4",63,17,31,"1,6",15,315,"0,06","0,2","Verduras, hortaliças e derivados"
"Batata, baroa, cozida",80,"0,9","0,2",,"18,9","1,8",12,8,29,"0,4",2,258,"0,15","0,4","Verduras, hortaliças e derivados"
"Batata, baroa, crua",101,"1,0","0,2",,"24,0","2,1",17,12,45,"0,3",,505,"0,05","0,2","Verduras, hortaliças e derivados"
"Batata, doce, cozida",77,"0,6","0,1",,"18,4","2,2",17,11,15,"0,2",3,148,"0,06","0,1","Verduras, hortaliças e derivados"
"Batata, doce, crua",118,"1,3","0,1",,"28,2","2,6",21,17,36,"0,4",9,340,"0,11","0,2","Verduras, hortaliças e derivados"
"Batata, frita, tipo chips, indusializada",543,"5,6","36,6",,"51,2","2,5",12,24,96,"0,7",607,1014,"0,12","0,6","Verduras, hortaliças e derivados"
"Batata, inglesa, cozida",52,"1,2",,,"11,9","1,3",4,5,24,"0,2",2,161,"0,06","0,2","Verduras, hortaliças e derivados"
"Batata, inglesa, crua",64,"1,8",,,"14,7","1,2",4,15,39,"0,4",,302,"0,09","0,2","Verduras, hortaliças e derivados"
"Batata, inglesa, frita",267,"5,0","13,1",,"35,6","8,1",6,14,70,"0,4",2,489,"0,10","0,4","Verduras, hortaliças e derivados"
"Batata, inglesa, sauté",68,"1,3","0,9",,"14,1","1,4",4,6,32,"0,3",8,199,"0,05","0,2","Verduras, hortaliças e derivados"
"Berinjela, cozida",19,"0,7","0,1",,"4,5","2,5",11,9,15,"0,2",1,105,"0,04","0,1","Verduras, hortaliças e derivados"
"Berinjela, crua",20,"1,2","0,1",,"4,4","2,9",9,13,20,"0,2",,205,"0,06","0,1","Verduras, hortaliças e derivados"
"Beterraba, cozida",32,"1,3","0,1",,"7,2","1,9",15,17,30,"0,2",23,245,"0,04","0,4","Verduras, hortaliças e derivados"
"Beterraba, crua",49,"1,9","0,1",,"11,1","3,4",18,24,19,"0,3",10,375,"0,08","0,5","Verduras, hortaliças e derivados"
"Biscoito, polvilho doce",438,"1,3","12,2",9,"80,5","1,2",30,6,23,"1,8",98,54,"0,04","0,1","Verduras, hortaliças e derivados"
"Brócolis, cozido",25,"2,1","0,5",,"4,4","3,4",51,15,33,"0,5",2,119,"0,08","0,2","Verduras, hortaliças e derivados"
"Brócolis, cru",25,"3,6","0,3",,"4,0","2,9",86,30,78,"0,6",3,322,"0,06","0,5","Verduras, hortaliças e derivados"
"Cará, cozido",78,"1,5","0,1",,"18,9","2,6",5,15,28,"0,3",1,203,"0,11","0,2","Verduras, hortaliças e derivados"
"Cará, cru",96,"2,3","0,1",,"23,0","7,3",4,11,35,"0,2",,212,"0,06","0,2","Verduras, hortaliças e derivados"
"Caruru, cru",34,"3,2","0,6",,"6,0","4,5",455,197,77,"4,5",14,279,"0,37","6,0","Verduras, hortaliças e derivados"
"Catalonha, crua",24,"1,9","0,3",,"4,8","2,0",57,17,32,"3,1",9,412,"0,27","0,5","Verduras, hortaliças e derivados"
"Catalonha, refogada",63,"2,0","4,8",,"4,8","3,7",63,16,35,"1,2",25,452,"0,18","0,4","Verduras, hortaliças e derivados"
"Cebola, crua",39,"1,7","0,1",,"8,9","2,2",14,12,38,"0,2",1,176,"0,05","0,2","Verduras, hortaliças e derivados"
"Cebolinha, crua",20,"1,9","0,4",,"3,4","3,6",80,25,27,"0,6",2,206,"0,04","0,3","Verduras, hortaliças e derivados"
"Cenoura, cozida",30,"0,8","0,2",,"6,7","2,6",26,14,27,"0,1",8,176,"0,02","0,2","Verduras, hortaliças e derivados"
"Cenoura, crua",34,"1,3","0,2",,"7,7","3,2",23,11,28,"0,2",3,315,"0,05","0,2","Verduras, hortaliças e derivados"
"Chicória, crua",14,"1,1","0,1",,"2,9","2,2",45,14,13,"0,5",14,425,"0,04","0,1","Verduras, hortaliças e derivados"
"Chuchu, cozido",19,"0,4",,,"4,8","1,0",8,7,13,"0,1",2,54,,"0,1","Verduras, hortaliças e derivados"
"Chuchu, cru",17,"0,7","0,1",,"4,1","1,3",12,7,18,"0,2",,126,"0,03","0,1","Verduras, hortaliças e derivados"
"Coeno, folhas desidratadas",309,"20,9","10,4",,"48,0","37,3",784,393,388,"81,4",18,3223,"4,09","4,7","Verduras, hortaliças e derivados"
"Couve, manteiga, crua",27,"2,9","0,5",,"4,3","3,1",131,35,49,"0,5",6,403,"0,06","0,4","Verduras, hortaliças e derivados"
"Couve, manteiga, refogada ",90,"1,7","6,6",,"8,7","5,7",177,26,33,"0,5",11,315,"0,02","0,2","Verduras, hortaliças e derivados"
"Couve-flor, crua",23,"1,9","0,2",,"4,5","2,4",18,12,57,"0,5",3,256,"0,03","0,3","Verduras, hortaliças e derivados"
"Couve-flor, cozida",19,"1,2","0,3",,"3,9","2,1",16,5,25,"0,1",2,80,,"0,3","Verduras, hortaliças e derivados"
"Espifre, Nova Zelândia, cru",16,"2,0","0,2",,"2,6","2,1",98,82,25,"0,4",17,336,"0,06","0,3","Verduras, hortaliças e derivados"
"Espifre, Nova Zelândia, refogado",67,"2,7","5,4",,"4,2","2,5",112,123,34,"0,6",47,149,"0,04","0,6","Verduras, hortaliças e derivados"
"Farinha, de mandioca, crua",361,"1,6","0,3",,"87,9","6,4",65,37,42,"1,1",1,340,"0,08","0,4","Verduras, hortaliças e derivados"
"Farinha, de mandioca, torrada",365,"1,2","0,3",,"89,2","6,5",76,40,39,"1,2",10,328,,"0,4","Verduras, hortaliças e derivados"
"Farinha, de puba",360,"1,6","0,5",,"87,3","4,2",41,27,33,"1,4",4,338,"0,07","0,3","Verduras, hortaliças e derivados"
"Fécula, de mandioca",331,"0,5","0,3",,"81,1","0,6",12,3,60,"0,1",2,48,,,"Verduras, hortaliças e derivados"
"Feijão, broto, cru",39,"4,2","0,1",,"7,8","2,0",14,25,75,"0,8",2,189,"0,17","0,6","Verduras, hortaliças e derivados"
"Inhame, cru",97,"2,1","0,2",,"23,2","1,7",12,29,65,"0,4",,568,"0,17","0,3","Verduras, hortaliças e derivados"
"Jiló, cru",27,"1,4","0,2",,"6,2","4,8",20,21,29,"0,3",,213,"0,07","0,1","Verduras, hortaliças e derivados"
"Jurubeba, crua",126,"4,4","3,9",,"23,1","23,9",151,65,155,"0,9",1,619,"1,16","0,6","Verduras, hortaliças e derivados"
"Mandioca, cozida",125,"0,6","0,3",,"30,1","1,6",19,27,22,"0,1",1,100,"0,01","0,2","Verduras, hortaliças e derivados"
"Mandioca, crua",151,"1,1","0,3",,"36,2","1,9",15,44,29,"0,3",2,208,"0,07","0,2","Verduras, hortaliças e derivados"
"Mandioca, farofa, temperada",406,"2,1","9,1",,"80,3","7,8",66,34,45,"1,4",575,201,,"0,2","Verduras, hortaliças e derivados"
"Mandioca, frita",300,"1,4","11,2",,"50,3","1,9",23,95,57,"0,3",9,176,"0,12","0,4","Verduras, hortaliças e derivados"
"Manjericão, cru",21,"2,0","0,4",,"3,6","3,3",211,58,40,"1,0",4,252,"0,16","0,5","Verduras, hortaliças e derivados"
"Maxixe, cru",14,"1,4","0,1",,"2,7","2,2",21,10,25,"0,4",11,328,"0,02","0,2","Verduras, hortaliças e derivados"
"Mostarda, folha, crua",18,"2,1","0,2",,"3,2","1,9",68,16,58,"1,1",3,364,"0,05","0,3","Verduras, hortaliças e derivados"
"Nhoque, batata, cozido",181,"5,9","1,9",15,"36,8","1,8",11,18,68,"1,6",7,164,"0,10","0,5","Verduras, hortaliças e derivados"
"bo, cru",18,"1,2","0,1",,"4,1","2,6",42,15,17,"0,2",2,280,"0,02","0,2","Verduras, hortaliças e derivados"
"Palmito, juçara, em conserva",23,"1,8","0,4",,"4,3","3,2",58,34,40,"0,3",514,244,"0,23","0,7","Verduras, hortaliças e derivados"
"Palmito, pupunha, em conserva",29,"2,5","0,5",,"5,5","2,6",32,25,55,"0,2",563,206,"0,08","0,4","Verduras, hortaliças e derivados"
"Pão, de queijo, assado",363,"5,1","24,6",68,"34,2","0,6",102,8,94,"0,3",773,93,"0,01","0,6","Verduras, hortaliças e derivados"
"Pão, de queijo, cru",295,"3,6","14,0",63,"38,5","1,0",88,7,79,"0,3",405,58,,"0,4","Verduras, hortaliças e derivados"
"Pepino, cru",10,"0,9",,,"2,0","1,1",10,9,12,"0,1",,154,"0,04","0,1","Verduras, hortaliças e derivados"
"Pimentão, amarelo, cru",28,"1,2","0,4",,"6,0","1,9",10,11,22,"0,4",,221,"0,04","0,2","Verduras, hortaliças e derivados"
"Pimentão, verde, cru",21,"1,1","0,2",,"4,9","2,6",9,8,17,"0,4",,174,"0,07","0,1","Verduras, hortaliças e derivados"
"Pimentão, vermelho, cru",23,"1,0","0,1",,"5,5","1,6",6,11,20,"0,3",,211,"0,04","0,2","Verduras, hortaliças e derivados"
"Polvilho, doce",351,"0,4",,,"86,8","0,2",27,4,8,"0,5",2,38,,,"Verduras, hortaliças e derivados"
"Quiabo, cru",30,"1,9","0,3",,"6,4","4,6",112,50,56,"0,4",1,249,"0,17","0,6","Verduras, hortaliças e derivados"
"Rabanete, cru",14,"1,4","0,1",,"2,7","2,2",21,10,25,"0,4",11,328,"0,02","0,2","Verduras, hortaliças e derivados"
"Repolho, branco, cru",17,"0,9","0,1",,"3,9","1,9",35,9,14,"0,2",4,150,"0,02","0,2","Verduras, hortaliças e derivados"
"Repolho, roxo, cru",31,"1,9","0,1",,"7,2","2,0",44,18,58,"0,5",2,328,"0,90","0,3","Verduras, hortaliças e derivados"
"Repolho, roxo, refogado",42,"1,8","1,2",,"7,6","1,8",43,17,59,"0,5",3,321,"0,02","0,3","Verduras, hortaliças e derivados"
"Rúcula, crua",13,"1,8","0,1",,"2,2","1,7",117,18,25,"0,9",9,233,"0,04","0,2","Verduras, hortaliças e derivados"
"Salsa, crua",33,"3,3","0,6",,"5,7","1,9",179,21,49,"3,2",2,711,"0,20","1,3","Verduras, hortaliças e derivados"
"Seleta de legumes, enlatada",57,"3,4","0,4",,"12,7","3,1",16,16,49,"1,1",398,122,"0,08","0,5","Verduras, hortaliças e derivados"
"Serralha, crua",30,"2,7","0,7",,"4,9","3,5",126,30,48,"1,3",19,265,"0,20","1,3","Verduras, hortaliças e derivados"
"Taioba, crua",34,"2,9","0,9",,"5,4","4,5",141,38,53,"1,9",1,290,"0,16","0,6","Verduras, hortaliças e derivados"
"Tomate, com semente, cru",15,"1,1","0,2",,"3,1","1,2",7,11,20,"0,2",1,222,"0,04","0,1","Verduras, hortaliças e derivados"
"Tomate, exato",61,"2,4","0,2",,"15,0","2,8",29,29,47,"2,1",498,680,"0,20","0,4","Verduras, hortaliças e derivados"
"Tomate, molho indusializado",38,"1,4","0,9",,"7,7","3,1",12,17,27,"1,6",418,388,"0,08","0,1","Verduras, hortaliças e derivados"
"Tomate, purê",28,"1,4",,,"6,9","1,0",13,15,30,"1,3",104,308,"0,09","0,3","Verduras, hortaliças e derivados"
"Tomate, salada",21,"0,8",,,"5,1","2,3",7,10,23,"0,3",5,161,"0,07","0,2","Verduras, hortaliças e derivados"
"Vagem, crua",25,"1,8","0,2",,"5,3","2,4",41,18,28,"0,4",,208,"0,06","0,3","Verduras, hortaliças e derivados"
"Abacate, cru",96,"1,2","8,4",,"6,0","6,3",8,15,22,"0,2",,206,"0,15","0,2",Frutas e derivados
"Abacaxi, cru",48,"0,9","0,1",,"12,3","1,0",22,18,13,"0,3",,131,"0,11","0,1",Frutas e derivados
"Abacaxi, polpa, congelada",31,"0,5","0,1",,"7,8","0,3",14,10,8,"0,4",1,107,"0,04","0,1",Frutas e derivados
"Abiu, cru",62,"0,8","0,7",,"14,9","1,7",6,9,20,"0,2",,128,"0,09","0,1",Frutas e derivados
"Açaí, polpa, com xarope de guaraná e glucose",110,"0,7","3,7",,"21,5","1,7",22,13,11,"0,3",15,75,"0,14","0,2",Frutas e derivados
"Açaí, polpa, congelada",58,"0,8","3,9",,"6,2","2,6",35,17,16,"0,4",5,124,"0,18","0,3",Frutas e derivados
"Acerola, crua",33,"0,9","0,2",,"8,0","1,5",13,13,9,"0,2",,165,"0,07","0,1",Frutas e derivados
"Acerola, polpa, congelada",22,"0,6",,,"5,5","0,7",8,9,13,"0,2",1,112,"0,04","0,1",Frutas e derivados
"Ameixa, calda, enlatada ",183,"0,4",,,"46,9","0,5",13,10,21,"2,2",3,221,"0,03","0,1",Frutas e derivados
"Ameixa, crua",53,"0,8",,,"13,9","2,4",6,5,14,"0,1",,134,"0,06","0,1",Frutas e derivados
"Ameixa, em calda, enlatada, dreda ",177,"1,0","0,3",,"47,7","4,5",39,14,26,"2,7",3,263,"0,16","0,2",Frutas e derivados
"Atemóia, crua",97,"1,0","0,3",,"25,3","2,1",23,25,23,"0,2",1,300,"0,17","0,2",Frutas e derivados
"Ba, da terra, crua",128,"1,4","0,2",,"33,7","1,5",4,24,26,"0,3",,328,"0,05","0,2",Frutas e derivados
"Ba, doce em barra",280,"2,2","0,1",,"75,7","3,8",12,49,37,"0,6",10,518,"0,16","0,3",Frutas e derivados
"Ba, figo, crua",105,"1,1","0,1",,"27,8","2,8",6,30,16,"0,2",,387,"0,06","0,1",Frutas e derivados
"Ba, maçã, crua",87,"1,8","0,1",,"22,3","2,6",3,24,29,"0,2",,264,"0,11","0,1",Frutas e derivados
"Ba, nica, crua",92,"1,4","0,1",,"23,8","1,9",3,28,27,"0,3",,376,"0,10","0,2",Frutas e derivados
"Ba, ouro, crua",112,"1,5","0,2",,"29,3","2,0",3,28,22,"0,3",,355,"0,08","0,3",Frutas e derivados
"Ba, pacova, crua",78,"1,2","0,1",,"20,3","2,0",5,30,20,"0,4",1,267,"0,06","0,1",Frutas e derivados
"Ba, prata, crua",98,"1,3","0,1",,"26,0","2,0",8,26,22,"0,4",,358,"0,05","0,1",Frutas e derivados
"Cacau, cru",74,"1,0","0,1",,"19,4","2,2",12,25,9,"0,3",1,72,"0,15","0,6",Frutas e derivados
"Cajá-Manga, cru",46,"1,3",,,"11,4","2,6",13,11,24,"0,2",1,119,"0,02","0,2",Frutas e derivados
"Cajá, polpa, congelada",26,"0,6","0,2",,"6,4","1,4",9,7,26,"0,3",7,148,"0,10","0,1",Frutas e derivados
"Caju, cru",43,"1,0","0,3",,"10,3","1,7",1,10,16,"0,2",3,124,"0,07","0,1",Frutas e derivados
"Caju, polpa, congelada",37,"0,5","0,2",,"9,4","0,8",1,7,10,"0,1",4,88,"0,07","0,1",Frutas e derivados
"Caju, suco concenado, envasado",45,"0,4","0,2",,"10,7","0,6",1,8,11,"0,1",45,107,"0,04","0,1",Frutas e derivados
"Caqui, chocolate, cru",71,"0,4","0,1",,"19,3","6,5",18,9,18,"0,1",2,164,,"0,2",Frutas e derivados
"Carambola, crua",46,"0,9","0,2",,"11,5","2,0",5,7,11,"0,2",4,133,"0,08","0,2",Frutas e derivados
"Ciriguela, crua",76,"1,4","0,4",,"18,9","3,9",27,18,49,"0,4",2,248,"0,12","0,5",Frutas e derivados
"Cupuaçu, cru",49,"1,2","1,0",,"10,4","3,1",13,18,21,"0,5",3,331,"0,07","0,3",Frutas e derivados
"Cupuaçu, polpa, congelada",49,"0,8","0,6",,"11,4","1,6",5,14,14,"0,3",1,291,"0,14","0,2",Frutas e derivados
"Figo, cru",41,"1,0","0,2",,"10,2","1,8",27,11,15,"0,2",,174,"0,13","0,1",Frutas e derivados
"Figo, enlatado, em calda",184,"0,6","0,2",,"50,3","2,0",33,7,6,"0,5",7,39,"0,25","0,1",Frutas e derivados
"Fruta-pão, crua",67,"1,1","0,2",,"17,2","5,5",34,24,27,"0,2",1,188,"0,07","0,1",Frutas e derivados
"Goiaba, branca, com casca, crua",52,"0,9","0,5",,"12,4","6,3",5,7,16,"0,2",,220,"0,04","0,2",Frutas e derivados
"Goiaba, doce em pasta",269,"0,6","0,0",,"74,1","3,7",10,6,54,"0,4",4,165,"0,06","0,1",Frutas e derivados
"Goiaba, doce, cascão",286,"0,4","0,1",,"78,7","4,4",15,10,28,"0,4",11,251,"0,08","0,1",Frutas e derivados
